City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,saint-joseph,-21.3667,55.6167,21.21,83,79,0.57,RE,1669080464
166,teguldet,57.3064,88.1667,-12.0,85,100,3.9,RU,1669080465
167,bambous virieux,-20.3428,57.7575,22.9,88,40,2.57,MU,1669080465
168,winfield,37.2398,-96.9956,7.45,70,0,0.0,US,1669080466
169,kralendijk,12.15,-68.2667,26.99,78,20,6.17,BQ,1669080466
170,soyo,-6.1349,12.3689,24.3,86,100,1.34,AO,1669080467
171,pochutla,15.7432,-96.4661,24.9,89,14,1.52,MX,1669080467
172,vila velha,-20.3297,-40.2925,20.97,97,100,1.54,BR,1669080468
173,taltal,-25.4,-70.4833,16.03,85,45,0.41,CL,1669080021
174,faanui,-16.4833,-151.75,26.16,77,24,7.2,PF,1669080223
175,granadilla de abona,28.1188,-16.576,17.67,69,0,5.66,ES,1669080469
176,coihaique,-45.5752,-72.0662,11.34,82,100,3.6,CL,1669080469
177,vila franca do campo,37.7167,-25.4333,19.23,91,86,6.72,PT,1669080469
178,daru,-9.0763,143.2092,30.02,69,97,2.17,PG,1669080470
179,kahului,20.8947,-156.47,27.01,70,40,6.69,US,1669080202
180,san vicente de canete,-13.0751,-76.3835,18.64,85,73,1.41,PE,1669080181
181,kalachinsk,55.0529,74.5751,-10.84,89,100,5.84,RU,1669080471
182,safranbolu,41.2508,32.6942,11.35,80,100,1.19,TR,1669080405
183,sultanpur,26.2667,82.0667,15.65,55,3,2.51,IN,1669080471
184,ovalle,-30.5983,-71.2003,19.98,53,0,1.44,CL,1669079952
185,kaupanger,61.1845,7.2404,-2.53,74,83,1.73,NO,1669080472
186,quatre cocos,-20.2078,57.7625,22.83,78,13,2.38,MU,1669080472
187,bollnas,61.3482,16.3946,-2.95,99,97,1.68,SE,1669080473
188,vilhena,-12.7406,-60.1458,19.01,99,100,2.41,BR,1669080426
189,san patricio,28.017,-97.5169,9.35,89,100,4.8,US,1669080473
190,port alfred,-33.5906,26.891,19.54,89,100,1.34,ZA,1669080474
191,airai,-8.9266,125.4092,18.89,85,100,0.65,TL,1669080474
192,punta alta,-38.8759,-62.0736,13.08,73,0,4.06,AR,1669080475
193,vyshkov,52.4764,31.6873,1.49,99,100,2.33,RU,1669080475
194,chernyshevskiy,63.0128,112.4714,-21.99,99,100,0.58,RU,1669080476
195,nanortalik,60.1432,-45.2371,-3.62,80,97,4.24,GL,1669080476
196,west bay,19.3667,-81.4167,28.04,80,20,2.57,KY,1669080476
197,egvekinot,66.3167,-179.1667,-27.67,83,15,5.07,RU,1669080477
198,svetlaya,46.5389,138.3297,-3.38,45,0,3.32,RU,1669080477
199,scarborough,54.2797,-0.4044,7.87,91,100,3.58,GB,1669080303
200,yerbogachen,61.2767,108.0108,-23.42,100,100,0.8,RU,1669080478
201,nemuro,43.3236,145.575,6.44,74,91,10.61,JP,1669080479
202,fairbanks,64.8378,-147.7164,-9.02,88,40,0.0,US,1669080479
203,paonta sahib,30.45,77.6167,14.56,42,0,2.23,IN,1669080479
204,buala,-8.145,159.5921,30.02,60,0,3.98,SB,1669080266
